name,description,image,attribute::Grid Dominion,attribute::Cloaking Power,attribute::Code Stratagem,attribute::Veil Assault,attribute::Pulse Fortitude,attribute::Reward Modulation
Genesis Key Card #115,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #116,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Radiant Charge,Resonant Stamina,Genesis
Genesis Key Card #117,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #118,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #119,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #120,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Deep Camouflage,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #121,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #122,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Emerging Tactic,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #123,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #124,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #125,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Masterful Hack,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #126,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Intact Blueprint,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #127,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #128,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Masterful Hack,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #129,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Emerging Tactic,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #130,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #131,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #132,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #133,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Deep Camouflage,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #134,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Masterful Hack,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #135,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Masterful Hack,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #136,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Radiant Charge,Phantom Command,Genesis
Genesis Key Card #137,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Masterful Hack,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #138,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #139,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #140,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #141,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #142,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #143,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Deep Camouflage,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #144,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Phantom Overthrow,Resonant Stamina,Genesis
Genesis Key Card #145,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #146,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #147,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Masterful Hack,Subtle Slash,Phantom Command,Genesis
Genesis Key Card #148,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #149,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #150,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Deep Camouflage,Emerging Tactic,Surgical Strike,Radiant Tenacity,Genesis
Genesis Key Card #151,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #152,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #153,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Emerging Tactic,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #154,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Partial Scheme,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #155,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Masterful Hack,Radiant Charge,Phantom Command,Genesis
Genesis Key Card #156,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #157,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Radiant Charge,Phantom Command,Genesis
Genesis Key Card #158,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #159,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Phantom Invisibility,Partial Scheme,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #160,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #161,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #162,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #163,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Phantom Invisibility,Masterful Hack,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #164,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #165,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Masterful Hack,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #166,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Partial Scheme,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #167,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #168,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #169,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #170,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Partial Scheme,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #171,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Phantom Invisibility,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #172,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Masterful Hack,Surgical Strike,Radiant Tenacity,Genesis
Genesis Key Card #173,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #174,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Intact Blueprint,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #175,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Surgical Strike,Radiant Tenacity,Genesis
Genesis Key Card #176,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Masterful Hack,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #177,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Intact Blueprint,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #178,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Intact Blueprint,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #179,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #180,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #181,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Radiant Charge,Radiant Tenacity,Genesis
Genesis Key Card #182,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Partial Scheme,Subtle Slash,Phantom Command,Genesis
Genesis Key Card #183,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Phantom Invisibility,Partial Scheme,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #184,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Stealth Barrier,Emerging Tactic,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #185,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #186,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #187,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Partial Scheme,Radiant Charge,Resonant Stamina,Genesis
Genesis Key Card #188,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #189,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #190,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #191,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #192,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Partial Scheme,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #193,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Masterful Hack,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #194,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Quiet Shadow,Partial Scheme,Fierce Breach,Resonant Stamina,Genesis
Genesis Key Card #195,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #196,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #197,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Masterful Hack,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #198,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Intact Blueprint,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #199,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Emerging Tactic,Phantom Overthrow,Resonant Stamina,Genesis
Genesis Key Card #200,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #201,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Deep Camouflage,Intact Blueprint,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #202,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #203,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Phantom Invisibility,Partial Scheme,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #204,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #205,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Intact Blueprint,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #206,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #207,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Deep Camouflage,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #208,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Masterful Hack,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #209,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #210,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Deep Camouflage,Intact Blueprint,Subtle Slash,Phantom Command,Genesis
Genesis Key Card #211,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Partial Scheme,Fierce Breach,Resonant Stamina,Genesis
Genesis Key Card #212,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #213,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #214,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #215,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #216,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Fierce Breach,Phantom Command,Genesis
Genesis Key Card #217,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #218,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #219,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #220,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #221,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #222,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Deep Camouflage,Intact Blueprint,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #223,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #224,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Stealth Barrier,Intact Blueprint,Fierce Breach,Radiant Tenacity,Genesis
Genesis Key Card #225,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #226,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Intact Blueprint,Fierce Breach,Radiant Tenacity,Genesis
Genesis Key Card #227,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Masterful Hack,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #228,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #229,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
